name,위도,경도,전기차등록수,X500m충전소,X500m생활근린시설,주민등록세대,면수
갑곳 공영주차장,37.741713,126.505053,0.157349896,0.2421875,0.028064993,0.142100754,90
강화역사관주차장,37.736048,126.5142592,0.157349896,0.326388889,0.016248154,0.142100754,88
강화읍 갑곳 제1공영주차장,37.73840542,126.5074697,0.157349896,0.191666667,0.020679468,0.142100754,119
강화읍 갑곳 제2공영주차장,37.74232092,126.4986252,0.157349896,0.2421875,0.042836041,0.142100754,34
강화읍 신문 제1공영주차장,37.74236799,126.4800651,0.157349896,0.494791667,0.032496307,0.142100754,59
강화종합전시관(구.토산품센터)주차장,37.74190934,126.4883684,0.157349896,0.081439394,0.051698671,0.142100754,78
강화평화전망대주차장,37.826436,126.4330222,0.157349896,1,0,0.006235692,71
고인돌주차장,37.774084,126.4367956,0.157349896,1,0.004431315,0.021375504,80
관청 제1공영주차장,37.751756,126.479978,0.157349896,0.191666667,0.127031019,0.142100754,75
관청 제2공영주차장,37.751513,126.481225,0.157349896,0.157986111,0.171344165,0.142100754,24
관청리주차장,37.747746,126.4829846,0.157349896,0.133928571,0.29689808,0.142100754,72
광성보주차장,37.664244,126.5249234,0.157349896,0.326388889,0,0.029226297,75
남문 공영주차장,37.74508761,126.4864718,0.157349896,0.090625,0.202363368,0.142100754,164
남산리(구.풍물시장)주차장,37.739364,126.4896322,0.157349896,0.061755952,0.022156573,0.142100754,82
대룡리공영주차장,37.782286,126.2788001,0.157349896,0.191666667,0.039881832,0.013988175,28
덕진진주차장,37.648966,126.5236201,0.157349896,1,0.001477105,0.029226297,45
동막해변 공영주차장,37.594553,126.455815,0.157349896,0.133928571,0.011816839,0.026501692,94
동막해수욕장주차장,37.592743,126.4581114,0.157349896,0.133928571,0.011816839,0.026501692,68
동문안 공영주차장,37.74786849,126.4891837,0.157349896,0.101851852,0.163958641,0.142100754,15
마니산주차장,37.63480074,126.4226774,0.157349896,0.326388889,0.047267356,0.026501692,450
매음 제1공영주차장,37.685405,126.316163,0.157349896,0.326388889,0.00295421,0.009058607,151
석포리 선착장주차장,37.692933,126.3666379,0.157349896,1,0.007385524,0.009058607,97
선원면 창리 제1공영주차장,37.72297541,126.4787526,0.157349896,0.494791667,0.008862629,0.04301785,175
신문 공영주차장,37.743811,126.480539,0.157349896,0.326388889,0.131462334,0.142100754,26
신문리공영주차장,37.7465337,126.4791545,0.157349896,0.157986111,0.215657312,0.142100754,80
신문리주차장,37.746913,126.4820872,0.157349896,0.157986111,0.292466765,0.142100754,89
온수리 제2공영주차장,37.639165,126.4922173,0.157349896,0.2421875,0.082717873,0.043270649,56
온수리 주차장,37.641116,126.4891856,0.157349896,0.326388889,0.084194978,0.043270649,70
용흥궁공원주차장,37.74883921,126.4867424,0.157349896,0.157986111,0.248153619,0.142100754,80
중앙로주차장,37.746037,126.4869767,0.157349896,0.073784722,0.223042836,0.142100754,120
창리 제2공영주차장,37.722351,126.484017,0.157349896,0.494791667,0.010339734,0.04301785,81
초지진주차장,37.6326099,126.5322629,0.157349896,0.326388889,0.011816839,0.043270649,34
풍물시장주차장,37.741421,126.4928674,0.157349896,0.101851852,0.048744461,0.142100754,264
함허동천주차장,37.624269,126.3802477,0.157349896,1,0.017725258,0.026501692,285
화문석문화관주차장,37.748163,126.4827979,0.157349896,0.133928571,0.276218612,0.015519009,12
경인교대 환승,37.538426,126.72206,1,0.049019608,0.311669129,0.493364044,84
계산동 302-1,37.536733,126.728975,1,0.025669643,0.177252585,0.493364044,33
계산동 957-12,37.539281,126.723455,1,0.049019608,0.326440177,0.493364044,19
계산동 959-10,37.54015346,126.7248385,1,0.035511364,0.342688331,0.493364044,15
계산동 964-10,37.538334,126.72642,1,0.073784722,0.295420975,0.493364044,20
계산복개천(상),37.54304313,126.7191428,1,0.040104167,0.144756278,0.493364044,102
계산복개천(시장전용),37.53945561,126.7230635,1,0.049019608,0.332348597,0.493364044,28
계산체육공원지하,37.545044,126.728997,1,0.133928571,0.11521418,0.493364044,215
계산택지1,37.54098745,126.7367574,1,0.005880376,0.059084195,0.493364044,191
계산택지2,37.53630167,126.7373565,1,0.006147541,0.047267356,0.493364044,148
계산택지3,37.53744173,126.7377592,1,0.004017857,0.032496307,0.493364044,155
계산택지4,37.53188825,126.7350489,1,0.021158854,0.069423929,0.27820457,142
계양IC 화물공영차고지,37.540623,126.752358,1,1,0,0.493364044,437
계양대로140번길,37.53661058,126.7235594,1,0.2421875,0.317577548,0.493364044,26
계양산,37.547302,126.726598,1,0.326388889,0.075332349,0.493364044,179
계양산 전통시장(노상),37.548134,126.740569,1,0.016891892,0.096011817,0.473870483,28
계양여성회관,37.529274,126.718098,1,0.081439394,0.079763663,0.322177436,44
고양골1,37.540976,126.717459,1,0.042763158,0.11521418,0.493364044,11
굴재공원,37.568414,126.749062,1,0.012547348,0.033973412,0.473870483,17
마장로,37.529013,126.705403,1,1,0.075332349,0.322177436,18
명현쌈지,37.531769,126.711833,1,0.101851852,0.0605613,0.322177436,13
모텡이공원,37.561891,126.754894,1,0.081439394,0.020679468,0.473870483,30
목수천,37.52475605,126.73343,1,0.01108156,0.064992614,0.27820457,70
문화회관 부설,37.54607851,126.7181298,1,0.042763158,0.075332349,0.493364044,142
병방동 양촌,37.54844958,126.7449177,1,0.073784722,0.048744461,0.473870483,29
병방화물,37.552373,126.748015,1,0.073784722,0.039881832,0.473870483,5
봉오대로(구 봉오대로691번길),37.531354,126.725531,1,0.073784722,0.183161004,0.27820457,4
봉오대로894번길,37.528412,126.747943,1,0.115885417,0.056129985,0.191199809,25
살나리공원,37.536257,126.746095,1,0.052734375,0.007385524,0.191199809,20
샘터공원,37.568264,126.745122,1,0.014227642,0.033973412,0.473870483,5
샛별(구 평화의길),37.53147831,126.710496,1,0.073784722,0.070901034,0.322177436,41
서녁공원,37.5605467,126.7579285,1,0.081439394,0.023633678,0.473870483,17
서운동공영차고지,37.526552,126.751712,1,1,0.062038405,0.191199809,131
서운산업단지 주차장,37.535231,126.753901,1,0.2421875,0,0.191199809,127
안골공원,37.57016,126.746569,1,0.040104167,0.035450517,0.473870483,10
안남로573번길,37.534364,126.709316,1,0.073784722,0.033973412,0.322177436,16
양지말공원,37.563413,126.7543385,1,0.061755952,0.013293944,0.473870483,14
양지말공원,37.563413,126.753408,1,0.013081395,0.014771049,0.473870483,14
욕은지길1,37.543217,126.724937,1,0.040104167,0.261447563,0.493364044,10
욕은지길2,37.542892,126.725003,1,0.037698413,0.271787297,0.493364044,13
용종,37.54271086,126.7427195,1,0.007309942,0.023633678,0.493364044,37
임학,37.54877048,126.735162,1,0.326388889,0.143279173,0.473870483,65
임학골(구 학산길),37.54507474,126.7328305,1,0.2421875,0.155096012,0.473870483,12
임학공원,37.548351,126.7334118,1,1,0.132939439,0.473870483,21
작전동 71-5,37.53373176,126.7307032,1,0.023263889,0.094534712,0.27820457,7
작전동 852-7,37.53627094,126.7222173,1,0.157986111,0.274741507,0.27820457,14
작전동 854-1,37.534065,126.723037,1,0.191666667,0.196454948,0.27820457,15
작전동 94-1,37.531843,126.730741,1,0.191666667,0.107828656,0.27820457,11
작전역 환승 동쪽(남측),37.53004219,126.7238831,1,0.067307692,0.169867061,0.27820457,93
작전역 환승 동쪽(북측),37.53067988,126.7239826,1,0.073784722,0.169867061,0.27820457,123
작전역 환승 서쪽(남측),37.53009577,126.7217588,1,0.073784722,0.138847858,0.27820457,65
작전역 환승 서쪽(북측),37.53069485,126.7217254,1,0.090625,0.144756278,0.27820457,39
장터공원,37.579757,126.737463,1,0.067307692,0.045790251,0.473870483,16
황어장터,37.57871127,126.7355659,1,0.056944444,0.038404727,0.473870483,26
